Root,Words
رود,أَرَادَ
المَحَنِ,المَحَنِ
ءون,أن
وءي,أن
مني,ومن
القَدَرْ,القَدَرْ
وني,أن
ءمل,الأملِ
مين,ومن | ومنْ
فلل,فلا
يَوْمَاً,يَوْمَاً
ماتْ,ماتْ
مون,ومن | ومنْ
جوب,يَسْتَجِيبَ
شعب,الشَّعبُ
منن,ومن
وحي,حيٌّ
فلو,فلا
بدد,بُدَّ | بُدّ
لمَحَنِ,المَحَنِ
يءس,ييأسْ
مَحَنِ,المَحَنِ
علو,على
علي,على
جلو,يَنْجَلِي
وفي,في
ِلَّيْلِ,لِلَّيْلِ
وقد,قد
-,ومن | أن | ولا | على | الحَيَاةَ | في | ومنْ | إذا | فلا | فهوَ | قد | حيٌّ
لقَدَرْ,القَدَرْ
قود,قد
ءني,أن
وفل,فلا
ءنن,أن
حوي,حيٌّ
كسر,يَنْكَسِرْ
قدد,قد
فهو,فهوَ
حيي,الحَيَاةَ | حيٌّ
موت,يَمُتْ
قيد,للقيدِ | قد
لِلَّيْلِ,لِلَّيْلِ
قَدَرْ,القَدَرْ
